Date,Viewcount,Likes,Comments,Post Link,Description
2/3/2021,0,20,0,https://www.instagram.com/p/CK0pQYkMQjV/,"Did you miss our Showcase about ""Care Code: Designing for Culturally Inclusive Mental Health""? You can still watch the project on our website."
2/2/2021,0,7,0,https://www.instagram.com/p/CKyEb-dDp8z/,"Did you miss our Showcase about ""Government as a Bridge for Innovation""? You can still watch the project on our website. "
2/1/2021,0,14,0,https://www.instagram.com/p/CKvfoJCAOzX/,"Did you miss our Showcase about ""Emergency Remote Teaching Hub""? You can still watch the project on our website."
1/29/2021,0,19,0,https://www.instagram.com/p/CKoak8iAXfw/,"We can proudly announce that this project already won their first prize and are not even finished! Congratulations! Did you miss our Showcase about ""Uni (re) cycle: decreasing Waste through Fun Behavioral Change""? You can still watch the project on our website."
1/29/2021,0,14,0,https://www.instagram.com/p/CKoF3fLDgrs/,"We are looking for a Front End developer and a Back End developer to join our team! Sounds like a challenge for you or someone you know? Go to the website of the AUAS and click on ""Vacancies"" at the bottom of the page."
1/21/2021,0,53,2,https://www.instagram.com/p/CKUCWuoL946/,Yesterday we enjoyed our showcase together with almost 200 attendees! We really want to thank all our trainees for their hard work and great results.
1/15/2021,0,42,0,https://www.instagram.com/p/CKD0FWmFBQI/,Sign up for the Digital Society Showcase in which our teams will show you the prototypes they've built and explain how they contributed to the Digital Transformation of Society and the Sustainable Development Goals. 
10/29/2020,0,16,2,https://www.instagram.com/p/CG7MuAwAwmY/, Yay! This afternoon we organize the Digital Twin webinars. Our last speaker to announce is Amir Sadeghi. Amir is a Surgical Resident at the Erasmus MC in Rotterdam.In the webinar Amir will share PulmoVR with us. A virtual reality and AI based tool that provides thoracic surgeons 3D and realistic views of their patients' specific anatomy for complex and personalized lung surgery. 
10/28/2020,0,18,2,https://www.instagram.com/p/CG4n6KWs2qe/,We can't wait to go live tomorrow with the #DigitalTwin #webinar . Meet Gohar Sargsyan. Gohar will share CGI's view on Digital Twins for different industries and shares practical examples. 
10/27/2020,0,12,2,https://www.instagram.com/p/CG2DNX2gKzN/,"Only 2 days till the webinar Digital Twin a Promising thing? Meet Ger Janssen, department Head Digital Twin@Philips. Ger will share Philips vision on #digitaltwin , combining devices, systems, hospitals and patients. Next to that he will address the current status and challenges to be solved. "
10/25/2020,0,13,2,https://www.instagram.com/p/CGw5japLkiq/,"4 days to go! Meet Ellen ter Gast, Track Ambassador or Digital Twin.In our webinar Ellen will talk about the 'ecology' of #digitaltwins . What kind of species are they? How did they evolve? Are we in control, or do they control us?"
10/23/2020,0,48,1,https://www.instagram.com/p/CGrpIe9sO9d/,6 days on the clock! Meet Mick Youth (@hyperaura). In the Digital Twin seminars Mick will share his research on adversarial design practices to negotiate a sustainable balance between the physical and digital world in the smart city. 
10/21/2020,0,29,1,https://www.instagram.com/p/CGmPJoFMOGZ/,"Digital Twin Webinar in 8 days! ⏱️ Meet@amberjaeslooten, speaker in the free online webinar. Amber works with digital fashion design, the body and 3D animation. As the first to graduate with a full digital collection back in 2016 her work always questions the way in which we will fit, purchase and wear clothing in the future. She is a co-founder and creative director of The Fabricant, a digital fashion house that creates clothing that is always digital, never physical. Unconstrained by the boundaries of the physical realm, they create intriguing and seductive 3D fashion experiences of endless possibility. "
10/19/2020,0,20,2,https://www.instagram.com/p/CGh3QSOsdGU/,"Do you know what a Digital Twin is? 👬 In 2019, global research and advisory company Gartner listed Digital Twin as a key strategic technology trend. The idea of ​​a digital twin, a virtual representation of an object, a person or processes, is not new. But the application of advanced big data analytics and AI might turn it into a truly disruptive technology. What happens when digital twins are linked to the real world, real people, real processes real time for monitoring and control? ✔️Will we be in control, or will digital twins control us? ✔️How do we interact with digital twins? ✔️Who will be using the technology and for what purposes? ✔️Which companies are the driving forces behind the Digital Twin technology? ✔️How can we develop Digital Twins that will make the world a better place? ✔️How can we use Digital Twin technology to reach the UN sustainable development goals? These questions are underlying the new DSS track, Digital Twin. 🎉 Celebrate the launch of this new track with us with the Digital Twin webinar on Thursday 29 Oct 2020 16:00 - 17:30 CEST. Register yourself for free via #linkinbio ! 😍 See you there?"
10/2/2020,0,45,0,https://www.instagram.com/p/CF1W8uUFaMm/,
9/22/2020,226,0,0,https://www.instagram.com/p/CFcKqhel6Sc/,During a makers you turn ideas into prototypes. Of course that protype doesn't need to be perfect. The goal is a minimum viable product that's a conversation starter. In this video you see team Open Up from the track Systems for Sharing in action!
9/21/2020,0,68,0,https://www.instagram.com/p/CFZk4iAFBPg/,Thank you all so much for contributing to the fifth edition of the #globalgoalsjam ! We are impressed by all the pictures your shared with us from all over the world. Thanks to our amazing community!
9/18/2020,154,0,2,https://www.instagram.com/p/CFRYad0lldU/,"Let the Global Goals Jam 2020 begin!This weekend on Friday September 18 and Saturday September 19 it's the 5th edition of the #globalgoalsjam . The founders, Gijs and Marco, are very excited to kick-off the 2020 Jam with you .. We are looking forward to see all the results of this year. Have fun and make it a good one! :-)"
9/15/2020,324,0,2,https://www.instagram.com/p/CFJ0wp8FFz_/,
9/8/2020,0,46,1,https://www.instagram.com/p/CE4J4VuFtEV/,Creating new tutorials for blended learning: webinars & live events with MSTeams
9/3/2020,209,0,2,https://www.instagram.com/p/CEq3g0YB4Jl/,Throwback Thursday! Two years ago was the official launch of Digital Society School. We're very grateful to everyone who joined one of our events or worked together with us. Only together we can make positive impact on our world with Digital Transformation and prototyping as powerful tools!
8/27/2020,0,19,1,https://www.instagram.com/p/CEY17acnDU7/,"From Austria, France, to the Netherlands and everywhere around! We have teamed up with@hogeschoolvanamsterdam and @tw1n_euto energize dual career services for athletes in the EU. Together, we are developing STARTING 11 - the first ever European Dual Career Toolkit! Check out the our website via our bio to learn more. 😎"
8/25/2020,0,32,1,https://www.instagram.com/p/CEUS0rzALCP/, Job alert! We're looking for a hands-on digital design intern to help us drive our brand forward! Interested? Check out the opening on our website. 👉 Link in bio!
8/20/2020,0,32,1,https://www.instagram.com/p/CEG0XL7gyKq/,"Is the Digital Society School only for young people? No, of course not. We believe in #lifelonglearning . So whether you are 20, 50, 80 years old or somewhere in between: you are very welcome to join our community"
8/13/2020,0,60,1,https://www.instagram.com/p/CD0yzIPAibk/,"In one month it's time for the #GlobalGoalsJam 2020! Friday September 18 and Saturday September 19 you are welcome to join our online Amsterdam Jam. We can't make it a live event as on this picture of last year, but we promise you the online jam is also very meaningful and powerful. Buy your tickets via our website (link in bio)."
8/6/2020,0,57,3,https://www.instagram.com/p/CDixO1unaaO/,"Wow, already one year ago we opened our new location at @Marineterreinamsterdam. 😅 Time flies, when you're having fun!"
7/30/2020,0,29,1,https://www.instagram.com/p/CDixO1unaaO//,"The Digital Society School Design Method Toolkit enables you to get started and enrich your design process. A collection of design and research methods: categorized to help you select, time based to help you plan. Plan and execute your design research, ideation, experimentation and creation within short iterations.Did you already know we have a printed version you can buy ánd an online version you can use free of charge? Check it out on toolkits.dss.cloud"
7/21/2020,0,19,0,https://www.instagram.com/p/CC5rkn7lBc0/,"Repost @greenofficehva It might be summer break, but @digitalsocietyschoolis relentless! Join them for a mini jam to help save our seas! Sign up via the link in the bio of@fabcafekl"
7/16/2020,126,0,1,https://www.instagram.com/p/CCtE6UiFXLT/,Digital Society Showcase Summer 2020 Last June we organized our first totally online Digital Society Showcase In 20 weeks the trainees of Digital Society School worked in multidisciplinary teams on developing a working prototype in collaboration with our project partners. During the showcase the teams will show you the prototypes and explain how they contribute to the Digital Transformation of Society and the Sustainable Development Goals. We are proud of everyone who made this fully online showcase possible! 
7/9/2020,0,36,3,https://www.instagram.com/p/CCas0ddlxHY/,For all of you that ordered our Design Method Toolkit: keep an eye on your mailbox! Thank you for staying patient during this COVID-19. BONUS: We sent everyone an original Digital Society School goodie bag along. Thanks so much - and happy holidays!
6/18/2020,209,0,1,https://www.instagram.com/p/CBkXxM-lmRc/,"Are you ready for showcase # 2 ? Luckily Pari (@mana_papillon) is! 😁 We really enjoyed to see all the participants and project prototypes yesterday. In case you missed it: the doors are still open. You are welcome to join us online today at 10:00 CET. That's in less than half an hour, so go to the link in our bio quickly and register 😍. See you there!"
6/17/2020,0,31,0,https://www.instagram.com/p/CBiC4zXFclP/,Also today: webinar online didactics. We start at 12:00! Free for everyone to view via bit.ly/hva- didactics. Will we see you there? 
6/17/2020,0,26,0,https://www.instagram.com/p/CBh7Af_Fha2/,The booths are ready! Here's a little #sneakpeak . Join our showcase this afternoon 15:00 CET or tomorrow 10:00 CET to learn more about digital transformation 🙌🏼. Register via link in bio.
6/16/2020,0,15,0,https://www.instagram.com/p/CBfnN8mF4WY/,"Posted @withregram • @auas.amsterdamCurious about sustainability at the AUAS? In the recent SustainaBul 2020 ranking of sustainable universities (HBO), AUAS improved its score, placing third in the 'best practices' category with examples like the international #globalgoalsjam , organized by our@digitalsocietyschool. Want to know how students contribute to sustainability at AUAS? Follow the account@auasustainable! Our AUAS sustainability ambassadors will inspire you to make our university and your own lives greener."
6/15/2020,230,0,1,https://www.instagram.com/p/CBc4HkUFFw6/,Yessss. This week it's showtime on Wednesday and Thursday! Do you want to see prototypes linked to meaningful projects? Join us online this Wednesday afternoon or Thursday morning. You won't be disappointed 😁. Register via the link in bio
